1000 , 0.0025
2000 , 0.0026
3000 , 0.004
4000 , 0.0036
5000 , 0.0037
6000 , 0.0046
7000 , 0.0054
8000 , 0.0048
9000 , 0.0058
10000 , 0.0061
20000 , 0.0086
30000 , 0.0115
40000 , 0.0152
50000 , 0.0201
60000 , 0.022
70000 , 0.0287
80000 , 0.0291
90000 , 0.0314
100000 , 0.0388
1000 , 0.0052
2000 , 0.0051
3000 , 0.004
4000 , 0.004
5000 , 0.004
6000 , 0.004
7000 , 0.008
8000 , 0.004
9000 , 0.004
10000 , 0.004
20000 , 0.0152
30000 , 0.016
40000 , 0.0217
50000 , 0.0241
60000 , 0.0337
70000 , 0.0389
80000 , 0.036
90000 , 0.044
100000 , 0.0674
