200 , 0.0013
400 , 0.0052
600 , 0.0117
800 , 0.0186
1000 , 0.0276
1200 , 0.0379
1400 , 0.0526
1600 , 0.0678
1800 , 0.0828
2000 , 0.1021
2200 , 0.1314
2400 , 0.152
2600 , 0.1796
2800 , 0.212
3000 , 0.2435
3200 , 0.2622
3400 , 0.3045
3600 , 0.3392
3800 , 0.3739
4000 , 0.4166
4200 , 0.458
4400 , 0.5445
4600 , 0.6009
4800 , 0.6791
5000 , 0.7819
5200 , 0.7084
5400 , 0.7415
5600 , 0.8052
5800 , 0.8715
6000 , 0.9745
6200 , 1.0047
6400 , 1.1046
6600 , 1.195
6800 , 1.2371
7000 , 1.2323
7200 , 1.3414
7400 , 1.4056
7600 , 1.6789
7800 , 1.5896
8000 , 1.6154
8200 , 1.7411
8400 , 1.8692
8600 , 2.1375
8800 , 2.1025
9000 , 2.1443
9200 , 2.2054
9400 , 2.2627
9600 , 2.3642
9800 , 2.4735
10000 , 2.5975
20000 , 10.9887
30000 , 23.7898
40000 , 40.1564
50000 , 62.4725
60000 , 91.6349
70000 , 126.2877
80000 , 174.0475
90000 , 245.9911
100000 , 276.9712
