10 , 0.0
110 , 0.0008
210 , 0.003
310 , 0.0059
410 , 0.0101
510 , 0.0157
610 , 0.0218
710 , 0.0296
810 , 0.0391
910 , 0.0483
1010 , 0.0598
1110 , 0.0733
1210 , 0.088
1310 , 0.1046
1410 , 0.1231
1510 , 0.1389
1610 , 0.192
1710 , 0.2075
1810 , 0.2213
1910 , 0.2281
2010 , 0.2461
2110 , 0.2831
2210 , 0.2978
2310 , 0.3363
2410 , 0.3911
2510 , 0.4016
2610 , 0.463
2710 , 0.4766
2810 , 0.491
2910 , 0.5124
3010 , 0.554
3110 , 0.5981
3210 , 0.6302
3310 , 0.6746
3410 , 0.7179
3510 , 0.7644
3610 , 0.9124
3710 , 1.0312
3810 , 0.9495
3910 , 0.9772
4010 , 1.03
4110 , 1.0601
4210 , 1.109
4310 , 1.1672
4410 , 1.2462
4510 , 1.3851
4610 , 1.4653
4710 , 1.471
4810 , 1.449
4910 , 1.5831
5010 , 1.7443
5110 , 1.6678
5210 , 1.7017
5310 , 1.7913
5410 , 1.8159
5510 , 1.899
5610 , 1.9723
5710 , 2.0233
5810 , 2.1765
5910 , 2.2507
6010 , 2.3104
6110 , 2.4359
6210 , 2.6145
6310 , 2.621
6410 , 2.7859
6510 , 2.6882
6610 , 2.7888
6710 , 3.0011
6810 , 2.9122
7000 , 3.2856
7500 , 3.59
8000 , 4.0603
8500 , 4.6518
9000 , 5.3492
9500 , 5.6324
10000 , 6.3957
10500 , 7.3527
11000 , 8.1253
12000 , 9.5735
13000 , 11.1365
14000 , 12.8079
15000 , 13.4185
16000 , 16.4991
17000 , 17.7606
18000 , 21.9519
19000 , 24.0061
20000 , 25.9156
25000 , 37.632
30000 , 56.1092
35000 , 75.3163
40000 , 106.6139
50000 , 155.559
60000 , 252.542
80000 , 438.9197
100000 , 648.1921
